,IWRmultiplier,TBDmultiplier,ShoshoneDMND,ENVflows,XBM_mu0,XBM_mu1,shift
4500675,0.041407974,0.000615514,0.010408115,0.003422065,0.533338487,0.036256547,0.137832192
4500685,0.610036732,0.001319165,0.007196711,0.007933973,0.127547303,0.012238368,0.048344689
4500704,0.238121108,0.000713011,0.011417549,0.006266606,0.303469561,0.022362334,0.181152497
4500705,0.882079925,0.003082237,0.005856892,0.011271833,0.025545246,0.005989997,0.02636344
4500725,0.522731987,0.001146562,0.008124097,0.006894437,0.140262644,0.014014794,0.081520535
4500743,0,0,0,0,0,0,0
4500749,0.751075859,0.002681946,0.007156423,0.007708245,0.04460297,0.013096744,0.048467366
4500788,0.810717792,0.002968519,0.006543624,0.008065752,0.038412309,0.011225979,0.029905179
4500790,0.419362328,0.000738464,0.009046996,0.007050786,0.259750863,0.015443795,0.066842359
4500793,0.351352433,0.000734534,0.014251442,0.009259174,0.195758543,0.045313115,0.277248521
4500810,0.034097641,0.001344324,0.009094171,0.004529473,0.620304761,0.041940135,0.063082788
4500818,0.750202178,0.001998998,0.00568507,0.007865947,0.096238321,0.012016725,0.015135698
4500861,0,0,0,0,0,0,0
4500969,0,0,0,0,0,0,0
5000517,0.421648101,0.000880696,0.008147789,0.0075862,0.274768022,0.011820332,0.08549254
5000526,0,0,0,0,0,0,0
5000539,0.484003155,0.001774684,0.008491681,0.008851262,0.256814222,0.013927161,0.067764235
5000574,0,0,0,0,0,0,0
5000576,0.421649216,0.00035391,0.00988188,0.008318698,0.237513716,0.022036188,0.147332732
5000582,0.51607116,0.002511609,0.012491641,0.009669303,0.05108105,0.015700852,0.35490127
5000585,0.313854838,0.001265248,0.008547042,0.003402775,0.19990422,0.015269488,0.160839474
5000593,0.43813849,0.000712101,0.008327889,0.007447784,0.198960528,0.01439061,0.113530545
5000598,0.372349944,0.000801847,0.009721218,0.007453867,0.247923963,0.018682407,0.152569015
5000601,0.384022654,0.001452376,0.012644865,0.010218426,0.039059524,0.011816905,0.47042836
5000606,0.332708284,0.000529223,0.00916025,0.007545374,0.334736723,0.017362345,0.13057124
5000612,0.255242002,0.002083114,0.011319308,0.006661493,0.442314252,0.009783254,0.007194482
5000613,0.160587748,0.002337879,0.01155248,0.005610173,0.47686617,0.007777396,0.019690617
5000617,0.192240985,0.000499114,0.013139026,0.008647328,0.043180777,0.011758184,0.666767333
5000627,0,0,0,0,0,0,0
5000628,0.681297289,0.001531315,0.008606664,0.008771205,0.083068709,0.018010632,0.109398977
5000632,0,0,0,0,0,0,0
5000654,0.15686452,0.002273084,0.0047958,0.005177485,0.527199202,0.01091995,0.015255312
5000656,0.659921894,0.001991486,0.007326096,0.012691549,0.074169613,0.009797295,0.130663155
5000731,0.461312427,0.000821316,0.007466409,0.007087828,0.230918315,0.012833349,0.091365086
5000744,0.815545463,0.002152763,0.006066339,0.009648107,0.027543057,0.003679689,0.052694465
5100546,0.127416466,0.002424807,0.062528945,0.010007022,0.455738762,0.021662279,0.042539313
5100585,0.058281814,0.003647414,0.340574717,0.010661667,0.160780334,0.016536247,0.008983125
5100594,0.465093569,0.00119887,0.005603594,0.007320157,0.238895037,0.009372055,0.052205466
5100629,0.421937843,0.001488636,0.005561966,0.005355618,0.306236374,0.005651304,0.040256485
5100660,0.845284311,0.005868673,0.005439795,0.005945817,0.006727242,0.0055684,0.003657188
5100686,0.541640508,0.001892043,0.02579223,0.012235159,0.122541655,0.009732229,0.104929182
5100699,0.604667098,0.005323387,0.008966592,0.010075405,0.021056809,0.012171688,0.261872068
5100700,0,0,0,0,0,0,0
5100763,0.295401131,0.001825426,0.015341917,0.00629471,0.381685643,0.010118729,0.053734429
5100788,0.070443701,0.000943619,0.011332382,0.005094325,0.49986812,0.05656377,0.167234136
5100810,0.202976535,0.000499235,0.009875895,0.006139716,0.366711829,0.020174802,0.206925545
5100826,0,0,0,0,0,0,0
5100829,0.938225007,0.006449796,0.003553555,0.007963773,0.008755208,0.004415256,0.001967719
5100831,0.335324803,0.005830479,0.097387536,0.010784487,0.159409174,0.018832253,0.114633082
5100848,0,0,0,0,0,0,0
5100858,0.020426136,0.000107192,0.016372267,0.005375495,0.142386083,0.088040861,0.64406862
5100876,0.376678694,0.00515972,0.005065813,0.141977986,0.124970312,0.028416337,0.08603252
5100883,0.412505576,0.001557423,0.007523131,0.007535664,0.303320653,0.007134166,0.072236126
5100893,0.426196318,0.002380278,0.036915898,0.005868408,0.186116423,0.014881272,0.089144994
5100924,0.014303363,0.001447918,0.010882983,0.003819972,0.404049286,0.067072277,0.274035111
5100934,0.364874302,0.002418456,0.012714294,0.008539143,0.183142233,0.039890587,0.239081051
5100939,0.432763328,0.000277359,0.010652137,0.009310783,0.236113358,0.007517159,0.123630977
5100941,0.090186011,0.000815812,0.01441334,0.007221654,0.062727174,0.058733783,0.697062982
5100948,0.715627583,0.002551955,0.008953358,0.011405796,0.046563288,0.012818112,0.136487885
5101148,0.195289816,0.002154515,0.026985703,0.009395008,0.467063542,0.014247123,0.008819225
5101149,0.184400725,0.00227333,0.023153867,0.010134375,0.486057762,0.014128478,0.008277511
5103709,0,0,0,0,0,0,0
5104055,0,0,0,0,0,0,0
5104634,0.006085713,0.839715026,0.003021379,0.00168627,0.008355399,0.018431212,0.023082957
5104655,0.004696966,0.796349412,0.003883847,0.002862132,0.012872267,0.011561837,0.057792148
5200559,0.104791316,0.002058439,0.010828845,0.005521784,0.520627851,0.032718928,0.127907307
5200572,0.138492423,0.003295902,0.007863033,0.005938572,0.486640128,0.017389843,0.143517498
5200658,0.492145458,0.001229022,0.00937795,0.009151089,0.18034001,0.044138953,0.151347689
5300621,0.704482315,0.003209919,0.007633769,0.006621056,0.046390779,0.010914499,0.066397966
5300632,0.057306818,0.000321109,0.014526442,0.007068337,0.196655461,0.076899105,0.530939825
5300657,0.311005118,0.001254906,0.006839299,0.006861889,0.392035703,0.013563747,0.088200431
5300678,0.298410181,0.002176272,0.006564487,0.005277944,0.423642144,0.020256891,0.0102494
5300780,0.197814167,0.003727472,0.062072197,0.008094447,0.375813172,0.034490327,0.01098748
5300783,0.658795515,0.001750634,0.007679756,0.009521871,0.070164623,0.013779917,0.111047679
5300800,0.06712123,0.000388098,0.005121149,0.003399382,0.313051412,0.198408731,0.016904889
5300883,0.069090425,0.00429924,0.459396693,0.008682058,0.113159313,0.013302319,0.008531087
5301082,0.843904342,0.002692883,0.005940183,0.009033567,0.034081401,0.006546832,0.048124815
7000521,0.0809989,0.000943333,0.009369932,0.007334797,0.485512565,0.026466368,0.146338195
7000530,0.138513219,0.001395701,0.008480482,0.006272887,0.459035509,0.015716546,0.066588112
7000550,0.451176083,0.001182712,0.012095462,0.008717077,0.187897113,0.038930079,0.171652097
7000571,0.631750383,0.001769912,0.006991617,0.007533946,0.110396161,0.019272832,0.032844365
7000580,0.283804989,0.00066445,0.007591349,0.007111005,0.366570282,0.018519019,0.102790451
7000584,0.151848187,0.000986541,0.00589829,0.004155849,0.435763108,0.007781207,0.032782794
7000596,0.425423426,0.00127413,0.008067683,0.008575123,0.242315912,0.031857624,0.111915754
7200514,0.294220102,0.001083404,0.009280092,0.005628489,0.306378114,0.017609533,0.085353924
7200533,0.37959889,0.001617633,0.007226369,0.005577981,0.256103617,0.01222445,0.033952444
