WDID,Water Source
3700568,BRUSH CREEK
3700569,BRUSH CREEK
3700570,GROUSE CREEK
3700571,LAKE CREEK
3700572,GYPSUM CREEK
3700573,SQUAW CREEK
3700576,MCCOY CREEK
3700577,UTE CREEK
3700578,BERRY CREEK
3700579,EAGLE RIVER
3700580,EAGLE RIVER
3700581,EAGLE RIVER
3700583,BRUSH CREEK
3700584,SQUAW CREEK
3700585,BRUSH CREEK
3700587,GORE CREEK
3700588,BRUSH CREEK
3700589,EAGLE RIVER
3700593,EAGLE RIVER
3700594,GYPSUM CREEK
3700595,GYPSUM CREEK
3700596,GYPSUM CREEK
3700597,RUBE CREEK
3700598,RUBE CREEK
3700599,RUBE CREEK
3700600,BEAVER CREEK
3700601,GYPSUM CREEK
3700602,TALMADGE CREEK
3700603,ALKALI CREEK
3700604,BRUSH CREEK
3700605,BRUSH CREEK
3700606,BRUSH CREEK
3700607,BRUSH CREEK
3700608,GAME CREEK
3700609,GYPSUM CREEK
3700610,NOLAN CREEK
3700611,BRUSH CREEK
3700612,GYPSUM CREEK
3700613,EAGLE RIVER
3700614,SQUAW CREEK
3700615,SQUAW CREEK
3700616,EAGLE RIVER
3700617,STONE CREEK
3700618,SPRING CREEK
3700619,GYPSUM CREEK
3700620,GYPSUM CREEK
3700621,BRUSH CREEK
3700622,GYPSUM CREEK
3700623,EBY CREEK
3700624,BRUSH CREEK
3700625,BEAVER CREEK
3700626,EBY CREEK
3700627,EBY CREEK
3700628,SALT CREEK
3700629,BRUSH CREEK
3700630,BERRY CREEK
3700631,SPRING CREEK
3700632,WEST LAKE CREEK
3700633,GYPSUM CREEK
3700634,SQUAW CREEK
3700635,BRUSH CREEK
3700636,BRUSH CREEK
3700637,GROUSE CREEK
3700638,TALMADGE CREEK
3700639,MILE CREEK
3700640,BRUSH CREEK
3700641,HOLLAND CREEK
3700642,EAGLE RIVER
3700643,BRUSH CREEK
3700644,BRUSH CREEK
3700647,GORE CREEK
3700648,GORE CREEK
3700649,EAGLE RIVER
3700651,HOMESTAKE CREEK
3700652,HOMESTAKE CREEK
3700653,HOMESTAKE CREEK
3700654,LAKE CREEK
3700655,GYPSUM CREEK
3700656,EAGLE RIVER
3700657,EAGLE RIVER
3700658,EAGLE RIVER
3700659,BERRY CREEK
3700660,LAKE CREEK
3700661,BUCK CREEK
3700662,LAKE CREEK
3700663,GYPSUM CREEK
3700664,SPRING CREEK
3700665,EBY CREEK
3700666,BEAVER CREEK
3700667,HERNAGE CREEK
3700668,ABRAMS CREEK
3700669,JUNE CREEK
3700670,BRUSH CREEK
3700671,GORE CREEK
3700672,GORE CREEK
3700673,EAGLE RIVER
3700674,GORE CREEK
3700675,GORE CREEK
3700676,GORE CREEK
3700677,GORE CREEK
3700678,LAKE CREEK
3700679,EAGLE RIVER
3700680,GORE CREEK
3700681,MILL CREEK
3700682,ANTONES CABIN CREEK
3700683,MILE CREEK
3700684,MILE CREEK
3700685,BRUSH CREEK
3700686,BRUSH CREEK
3700687,BRUSH CREEK
3700688,BRUSH CREEK
3700689,GYPSUM CREEK
3700690,STONE CREEK
3700691,GORE CREEK
3700692,GORE CREEK
3700693,BRUSH CREEK
3700694,BRUSH CREEK
3700695,GYPSUM CREEK
3700696,LAKE CREEK
3700697,BRUSH CREEK
3700698,GYPSUM CREEK
3700699,GYPSUM CREEK
3700700,MCCOY CREEK
3700701,MCCOY CREEK
3700702,ALKALI CREEK
3700703,GYPSUM CREEK
3700704,BRUSH CREEK
3700705,GORE CREEK
3700706,GYPSUM CREEK
3700707,CACHE CREEK
3700708,EAGLE RIVER
3700709,BRUSH CREEK
3700710,GORE CREEK
3700711,BRUSH CREEK
3700712,GYPSUM CREEK
3700713,GYPSUM CREEK
3700714,SQUAW CREEK
3700715,CROSS CREEK
3700717,LAKE CREEK
3700718,GYPSUM CREEK
3700719,LAKE CREEK
3700720,GYPSUM CREEK
3700721,ALKALI CREEK
3700722,ALKALI CREEK
3700723,BRUSH CREEK
3700724,EAGLE RIVER
3700725,GRUNDELL CREEK
3700726,GROUSE CREEK
3700727,GROUSE CREEK
3700728,GYPSUM CREEK
3700729,NOLAN CREEK
3700730,BRUSH CREEK
3700731,GYPSUM CREEK
3700732,NOTTINGHAM GULCH
3700733,NOTTINGHAM GULCH
3700734,BEAVER CREEK
3700735,GROUSE CREEK
3700736,EAGLE RIVER
3700737,BRUSH CREEK
3700738,BRUSH CREEK
3700739,BRUSH CREEK
3700740,SQUAW CREEK
3700741,BRUSH CREEK
3700742,EAGLE RIVER
3700743,EAGLE RIVER
3700744,BISHOP GULCH
3700745,BEAVER CREEK
3700746,YODER CREEK
3700749,BRUSH CREEK
3700750,GORE CREEK
3700751,BRUSH CREEK
3700752,GYPSUM CREEK
3700753,BRUSH CREEK
3700754,EAGLE RIVER
3700755,EAGLE RIVER
3700756,BRUSH CREEK
3700757,BRUSH CREEK
3700758,WEST BRUSH CREEK
3700759,BRUSH CREEK
3700760,GROUSE CREEK
3700761,GYPSUM CREEK
3700762,SOUTH FORK EAGLE RIVER
3700764,GROUSE CREEK
3700765,NOTTINGHAM GULCH
3700766,TURKEY CREEK
3700767,CROSS CREEK
3700769,EAGLE RIVER
3700770,HOMESTAKE CREEK
3700771,PETERSON CREEK
3700772,FALL CREEK
3700773,RED CANYON CREEK
3700774,GYPSUM CREEK
3700775,EAGLE RIVER
