Year,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78,Site79,Site80,Site81,Site82,Site83,Site84,Site85,Site86,Site87,Site88,Site89,Site90,Site91,Site92,Site93,Site94,Site95,Site96,Site97,Site98,Site99,Site100,Site101,Site102,Site103,Site104,Site105,Site106,Site107,Site108,Site109,Site110,Site111,Site112,Site113,Site114,Site115,Site116,Site117,Site118,Site119,Site120,Site121,Site122,Site123,Site124,Site125,Site126,Site127,Site128,Site129,Site130,Site131,Site132,Site133,Site134,Site135,Site136,Site137,Site138,Site139,Site140,Site141,Site142,Site143,Site144,Site145,Site146,Site147,Site148,Site149,Site150,Site151,Site152,Site153,Site154,Site155,Site156,Site157,Site158,Site159,Site160,Site161,Site162,Site163,Site164,Site165,Site166,Site167,Site168,Site169,Site170,Site171,Site172,Site173,Site174,Site175,Site176,Site177,Site178,Site179,Site180,Site181,Site182,Site183,Site184,Site185,Site186,Site187,Site188,Site189,Site190,Site191,Site192,Site193,Site194,Site195,Site196,Site197,Site198,Site199,Site200,Site201,Site202,Site203,Site204,Site205,Site206,Site207,Site208
1979,48148,71756,166471,171016,310937,310937,83671,83924,3064,26326,26892,16542,23566,23895,23895,11512,18053,18053,9370,38869,6691,7917,7917,183476,573964,3341,8070,17014,19251,76543,105254,105930,116021,116090,10965,32564,33027,36925,36494,30187,30522,1935,7872,53558,61291,15866,731,15612,102901,103542,1773,4305,33771,84431,2336,44930,49018,64975,78163,87333,240064,240064,12311,330484,23073,23073,29299,355172,11571,365453,367877,26663,17141,17141,419004,419238,17225,8980,463138,1389106,15168,5283,33863,33863,38900,2807,7538,11796,1919,60440,77229,20012,6010,2234,16141,9223,46116,20217,16316,50674,152883,44544,44544,31947,62303,319123,346507,18147,31676,421991,36459,55597,25898,25898,29529,43716,567826,2386766,10868,32192,38273,1285,84033,120048,35950,44937,33524,33524,66077,52660,58229,15639,26984,57927,35335,143920,15860,115927,148243,199778,199778,11408,12034,772135,3855,260955,323060,17111,56517,13636,13636,17491,41048,10042,21179,1259340,3756394,37757,39785,40231,68001,2157,30126,98127,1928,5365,1022,34431,15721,79142,5406,28075,28075,20635,4651,1768,7941,32167,10607,42774,4046337,23678,41684,16199,65754,4075188,6294,21446,55148,82805,2575,49511,49511,14508,12674,29608,12270,12270,2857,6603,1858,8852,223776,6118,7119,2342849,6767407,6914536
1980,40577,60472,140148,143973,261679,261679,55520,55688,3050,26194,26756,17481,24902,22505,22505,9142,16673,16673,8654,37143,6301,6422,6422,187072,499096,3061,7025,14598,16491,71504,98050,98676,112035,112128,8305,24666,25016,27794,27485,22647,22900,1804,8092,56491,60720,14773,734,14536,95249,95575,1840,4468,35040,87597,2589,49750,54426,58778,70706,79002,243069,243069,13632,324144,21253,21253,26629,346794,11021,356696,358791,25393,15078,15078,398889,398876,15152,7900,434525,1239422,10585,3684,23627,23627,29115,2651,7116,11136,1863,65860,84157,13965,3747,1915,10857,6201,31014,17748,14323,44483,118554,38412,38412,23027,46329,248883,269905,13928,24314,328045,33437,48128,26307,26307,29092,39983,451868,2125788,6773,27274,36795,1181,72160,103085,18596,23245,31094,31094,61010,52879,57994,15706,24797,58167,35483,144516,13370,97723,124967,169358,169358,8739,9219,678636,3543,255402,312477,15347,51559,13619,13619,17162,38810,7967,18203,1141404,3439265,36299,38249,35312,82980,2635,36761,119741,1625,4676,1223,29010,14610,68048,4553,26924,26924,19789,4349,460,7078,37444,12349,49793,3681610,29239,51477,34579,102858,3845089,6004,20457,52604,78985,2204,42398,42398,12421,10854,25354,12277,12277,2776,6411,1806,8594,229659,5939,7146,2249360,6322062,6302250
1981,24016,35793,84320,86649,158336,158336,25586,25663,2187,18792,19194,11437,16289,16981,16981,6995,11381,11381,5906,24358,4755,3315,3315,106469,289023,1029,5724,12028,13605,55054,72057,72457,81900,81966,4313,12808,12988,13491,13435,7399,7482,1151,4099,26788,38882,9440,41,9287,72360,73361,984,2389,18738,46848,1445,27759,27740,38538,46360,51798,126294,126294,7607,197436,15043,15043,20109,213796,8390,221132,223105,19332,10523,10523,232493,231838,10575,5514,250211,727410,6349,2212,14172,14172,16864,1711,4590,7183,655,32290,41258,8376,3361,1293,4950,2830,14144,11271,9096,28250,68554,28884,28884,15344,29502,154640,167415,8464,14772,202872,26415,35342,18969,18969,20661,27278,287189,1236283,6075,21044,26866,586,54600,78000,21664,27081,21930,21930,36779,32911,35450,9774,12308,36202,22083,89945,9118,66632,85210,114993,114993,12933,13643,440779,1758,132658,160988,6759,24734,8612,8612,10370,21118,3088,8166,676500,1973143,26500,27926,30830,34731,1103,15384,50115,696,1555,1521,12433,3092,25993,1953,24457,24457,17976,1900,959,3441,8489,2798,11287,2181851,5287,9308,7347,20223,2130660,2767,9429,24246,36405,948,18217,18217,5337,4666,10894,9055,9055,2428,5612,1580,7523,115001,5199,7178,1061288,3408758,3525871
1982,42916,63957,148148,152185,276554,276554,58701,58878,3266,28047,28648,22513,32069,27876,27876,4994,18610,18610,9661,34891,7805,6585,6585,193914,524287,3011,7545,18287,20974,84437,119445,120270,126424,126468,7958,23636,23972,25621,25437,22677,22930,1613,6674,45628,58042,13229,120,13016,99507,100535,1791,4352,34136,85337,2761,53123,55284,65228,78467,87672,238480,238480,14556,331695,23355,23355,29624,356678,11433,366806,369249,26340,17508,17508,414422,414463,17595,9175,448712,1280922,12218,4255,27271,27271,31860,2501,6713,10507,2899,55047,70339,16117,8158,1681,12556,7176,35875,19949,16100,49997,137619,42940,42940,24892,52897,288247,313512,16741,29224,382768,36537,54190,24916,24916,28262,41354,521234,2189397,14751,36390,38841,990,84009,120012,34172,42715,33267,33267,58315,51545,55830,15309,20766,56700,34587,140874,14285,104421,133531,192138,192138,14436,15228,706680,2968,252887,300678,14112,44435,12951,12951,15919,34044,10590,19159,1139936,3418458,38315,40374,46314,59305,1882,26273,85578,2099,5687,1801,37473,14665,83691,5884,28049,28049,20615,5963,1746,9648,17224,5681,22905,3793258,12583,22155,12072,40090,3741502,6192,21104,54267,81482,2317,44539,44539,13051,11402,26635,12122,12122,3028,6992,1969,9374,232939,6477,7737,1704404,5796108,5931046
1983,61513,91674,215737,221689,404964,404964,89715,89984,4575,39289,40134,27278,38860,37622,37622,7900,27753,27753,14405,51323,10535,10072,10072,305600,789729,4470,11227,23142,26122,123128,187377,188888,191283,191301,12644,37552,38085,40785,40484,41031,41487,1902,8858,62399,71947,15590,874,15341,115365,116155,2578,6260,49118,122791,2903,55801,57178,85543,102904,114977,301432,301432,15289,435030,25172,25172,34604,462650,13361,474050,477725,30782,20814,20814,542921,543356,20917,10908,587431,1819053,17497,6093,39056,39056,44604,2693,7226,11310,2539,66559,85050,23081,7558,2951,18157,10375,51880,23407,18890,58668,176236,53252,53252,34977,70525,369565,401636,21252,37094,490368,43245,65656,28195,28195,32444,49060,659568,2955537,13666,44296,54971,1164,106085,151553,43445,54306,38844,38844,68348,63727,68775,18927,24456,70099,42761,174165,18653,136320,174323,260531,260531,15070,15897,885205,3493,304013,360302,30447,66162,14233,14233,17726,39076,13474,23566,1415469,4418853,54226,57142,74089,84212,2674,37305,121517,2840,11843,2280,50713,25837,119249,7963,27833,27833,20456,6574,5064,6783,63351,20893,84244,5141026,33718,59359,21268,90961,5307697,13374,45576,117197,175971,3985,76629,76629,22453,19618,45826,14935,14935,4284,9892,2784,13263,464694,9165,7067,3147455,9040929,9178226
1984,63593,94774,231171,237713,439211,439211,105163,105480,5103,43823,44763,30151,42952,40733,40733,11581,27732,27732,14392,50111,11406,9431,9431,305037,840408,6582,11278,26222,29960,129543,196809,198393,207960,208027,11367,33761,34240,39550,38962,40359,40811,2464,9915,67269,81833,20202,663,19877,140291,141497,2712,6586,51657,129139,3606,69370,80403,99980,120270,134379,395927,395927,19006,548209,29154,29154,39778,580122,14719,592633,596772,33914,20598,20598,696901,698359,20700,10793,753948,2111129,16169,5630,36094,36094,42720,3542,9510,14884,2330,79514,101601,21332,5962,4848,24929,14247,71226,27430,22135,68745,226960,60392,60392,32500,79578,459035,501506,28143,49124,619951,45915,75592,32626,32626,38254,60257,827952,3483228,10783,39816,52105,1614,122296,174707,48029,60036,56466,56466,97349,81043,88036,24069,33891,89149,54378,221491,24242,177178,226570,320519,320519,15613,16468,1116283,4841,315938,393938,25790,75281,18156,18156,22997,52584,17671,31658,1726764,5222058,51403,54164,78616,87921,2791,38950,126871,3098,8484,1186,55349,26287,128239,8690,28807,28807,21172,5077,7193,8102,53348,17591,70939,6083498,32419,57074,19359,85837,6282530,11334,38633,99341,149161,4495,86433,86433,25325,22125,51688,16268,16268,4448,10269,2889,13767,433853,9513,6465,3765672,10615608,10769564
1985,47768,71188,156706,160810,287142,287142,82112,82357,3339,28674,29289,20795,29621,28391,28391,11862,17703,17703,9188,39638,7949,7839,7839,199164,564245,5706,6889,16855,19347,83805,126226,127223,141876,141979,7843,23296,23624,26658,26324,31338,31687,1960,8408,58010,67323,16062,934,15804,111356,112123,2116,5140,40304,100762,2644,50810,50407,72942,87747,98041,247316,247316,13922,370509,21196,21196,29907,393966,11589,403745,407138,26701,16814,16814,488123,489321,16898,8809,528804,1458457,15409,5365,34395,34395,41146,3428,9207,14408,2143,81008,103511,20326,8566,3052,15003,8574,42869,20416,16475,51166,156645,43830,43830,29109,62990,329758,360323,20256,35356,445135,39073,60434,27199,27199,31251,47087,604583,2613694,15488,45216,53355,1289,94170,134531,39587,49485,45184,45184,77778,74750,80324,22203,27017,82225,50158,204292,16016,117047,149676,225296,225296,8853,9337,875855,3859,310481,372665,23429,62884,16801,16801,20660,44247,14225,25376,1426487,4174699,52635,55463,71501,90414,2870,40052,130466,2814,5803,2176,50234,18917,111449,7886,30606,30606,22495,6933,4717,6678,76958,25378,102336,4902941,36518,64289,20103,94160,5078988,8628,29411,75624,113552,3914,75232,75232,22044,19259,44989,13933,13933,3581,8270,2330,11086,331055,7661,6016,3158225,8661755,8766261
1986,60456,90095,214002,219949,402994,402994,105301,105619,3299,28333,28941,20869,29728,30696,30696,8351,17285,17285,8970,37933,8596,7578,7578,226370,725559,3487,10151,19684,22071,94778,138517,139547,148554,148616,11784,35003,35499,39977,39479,44136,44626,2106,9254,64272,76202,17255,1022,16980,125962,126950,1701,4131,32394,80989,2903,55822,63096,64696,77825,86956,265337,265337,15294,381315,23977,23977,32003,407374,12123,417830,420958,27934,17453,17453,465693,465672,17540,9146,512668,1671782,14154,4930,31599,31599,38316,3293,8840,13836,1986,80609,103002,18673,9532,2947,14587,8336,41678,22338,18027,55989,154579,50096,50096,21575,52373,317307,345094,18411,32138,422361,40590,60007,28290,28290,31971,46369,575938,2790260,17235,47736,54741,1233,88581,126545,35990,44989,41026,41026,72275,67706,73051,20107,25903,74478,45429,185042,15661,114459,146369,227983,227983,18210,19209,845838,3700,332346,391967,19520,57348,15165,15165,18865,41481,10149,20839,1401057,4303837,54002,56903,65345,89616,2845,39700,129316,2165,5492,1202,38635,13509,84674,6067,30602,30602,22492,4451,2625,6391,57664,19018,76682,4842439,37895,66715,23530,101635,5081656,8834,30109,77419,116246,3338,64170,64170,18802,16428,38373,15147,15147,3647,8420,2372,11288,331676,7801,6086,2891563,8480092,8691327
1987,32495,48426,105963,108721,193720,193720,41027,41152,2442,20971,21422,13643,19433,19714,19714,10297,14471,14471,7511,30795,5520,5847,5847,143778,375602,2179,5692,11931,13490,55864,77215,77716,89323,89407,6642,19736,20015,22624,22332,17294,17486,1531,6006,40432,43857,12558,191,12355,73128,73410,1419,3450,27063,67656,2141,41183,44484,46705,56180,62773,190478,190478,11284,266133,13865,13865,18996,281330,7839,288104,290102,18060,11602,11602,306903,306491,11659,6079,336057,957251,8796,3064,19636,19636,23583,2281,6124,9584,1453,47354,60508,11604,5442,2185,10284,5877,29380,14773,11921,37026,103348,29942,29942,17503,37496,209902,227940,11951,20863,278369,29159,41763,23218,23218,25608,34953,385725,1665634,9838,26423,29768,900,84416,120592,31377,39222,35438,35438,58228,43995,47891,13065,18892,48395,29522,120239,11321,82726,105790,148338,148338,6033,6364,619377,2698,212843,256327,13082,40671,12752,12752,15450,31946,7076,14874,994982,2700312,29365,30943,39093,52204,1658,23128,75332,1497,3821,1264,26750,8883,58156,4199,28453,28453,20913,3203,2397,4954,22494,7419,29913,3085854,12923,22753,11753,40218,3156403,6184,21074,54192,81369,2198,42270,42270,12386,10822,25277,13296,13296,3227,7457,2098,9995,272909,6907,6008,2477229,5956170,6004252
1988,40149,59834,139397,143217,260752,260752,49704,49855,3304,28384,28993,20493,29194,26484,26484,5903,18815,18815,9765,34390,7417,6947,6947,198940,503638,1502,7801,14434,16092,71245,103083,103831,115009,115088,7586,22525,22845,24047,23915,22189,22437,1634,8411,60563,62200,13393,1644,13179,92170,92296,1513,3676,28831,72076,2329,44830,47379,49453,59489,66468,197939,197939,12282,272213,16761,16761,21702,290258,8545,297776,299701,19690,15337,15337,335879,335916,15413,8035,364818,1147009,7543,2627,16839,16839,20950,2443,6562,10269,2401,49325,63028,9952,3488,1457,8359,4776,23880,13688,11047,34305,89830,28844,28844,18543,35668,187845,203293,10242,17874,246071,28609,39404,22934,22934,24981,32987,344707,1818870,6308,22627,29287,541,60729,86755,30519,38150,23548,23548,37213,38616,40953,11470,11329,42477,25912,105538,10166,74304,95018,130507,130507,7125,7518,475666,1620,159470,185544,7686,24227,9654,9654,11274,21162,3961,8636,734297,2645249,28891,30445,29093,45422,1441,20120,65542,869,2077,1201,15509,5044,33612,2434,26864,26864,19744,2457,111,4510,12997,4285,17282,2804025,9024,15886,10318,31215,2910032,3513,11965,30767,46197,1108,21336,21336,6253,5463,12760,10630,10630,2543,5874,1654,7874,147474,5440,5555,1374766,4474859,4516226
1989,29871,44518,102031,104793,189758,189758,32761,32860,2545,21864,22332,15240,21709,21401,21401,8671,12993,12993,6743,26300,5991,5237,5237,136386,356552,1492,6675,12987,14565,56801,80926,81495,92215,92290,4860,14438,14643,16450,16249,13944,14098,1336,5005,33234,42699,10958,1209,10784,77161,77944,1566,3803,29827,74567,2293,44089,46439,45687,54960,61407,193492,193492,12081,270960,15634,15634,20846,287948,8668,295533,297565,19976,10682,10682,331952,332072,10735,5597,356606,943755,7272,2533,16234,16234,19973,2278,6114,9569,2575,44850,57308,9595,4040,1430,8751,5000,25003,12206,9851,30591,87338,28130,28130,16654,33833,182907,198406,10270,17925,241288,26835,37667,22000,22000,24054,32083,337363,1582099,7305,21858,26120,551,63354,90507,23018,28769,26570,26570,40517,42900,45287,12742,11560,47192,28787,117245,9233,67482,86295,122702,122702,7241,7636,477137,1652,170274,196879,10086,26968,9957,9957,11609,21701,4799,9569,751707,2389068,25764,27150,29388,46132,1465,20437,66569,874,1942,1600,15575,4624,33313,2447,25517,25517,18756,2986,934,4420,11032,3638,14670,2611432,5026,8850,8126,20925,2619217,3180,10836,27866,41842,1199,23084,23084,6764,5909,13803,10226,10226,2433,5617,1582,7530,135811,5204,6204,904536,3744568,3840940
1990,37064,55236,129243,132794,242121,242121,37880,37994,2485,21357,21816,13401,19091,21967,21967,6346,14864,14864,7714,30503,6150,5802,5802,147014,423627,983,7024,15060,17070,61912,90486,91159,95156,95182,4867,14452,14657,15152,15096,13842,13997,1398,5060,33239,36573,11465,1214,11281,63308,63537,1378,3349,26264,65655,2125,40849,45162,43641,52497,58658,189807,189807,11192,254933,15656,15656,19956,271706,7909,278721,280396,18225,11135,11135,313622,313745,11188,5835,333011,956769,6839,2382,15268,15268,18030,2314,6209,9718,1622,33121,42322,9023,3311,838,8095,4625,23127,13343,10767,33441,83609,27944,27944,21360,35995,176182,189384,8748,15270,225536,26819,36045,21143,21143,22891,29733,313744,1502688,5987,20117,25358,492,69826,99753,25219,31525,24016,24016,36461,36606,38734,10873,10315,40268,24563,100044,9831,71828,91854,124350,124350,5907,6233,461410,1473,138647,162390,5433,20496,10441,10441,11914,20921,2633,6890,689463,2284799,25016,26361,26132,38682,1228,17137,55819,565,1598,1286,10108,3144,21762,1588,24634,24634,18106,2949,461,3953,4467,1473,5940,2430304,2767,4870,4995,12291,2437273,2501,8525,21919,32909,650,12486,12486,3658,3197,7465,9089,9089,2127,4909,1383,6582,98104,4548,6009,765729,3303440,3292675
1991,36769,54797,132810,136552,251798,251798,48484,48630,3066,26327,26891,16744,23855,28029,28029,7454,18756,18756,9735,32260,7849,6021,6021,177058,473056,2190,7109,14281,16074,68136,105921,106812,116969,117042,6473,19223,19496,20519,20404,18183,18387,1561,7176,50355,51644,12807,1652,12603,79204,79271,1724,4187,32839,82097,2190,42119,43699,50621,60897,68040,201280,201280,11540,268262,19989,19989,24409,289399,9065,297544,299267,20887,16695,16695,359185,359900,16777,8747,390069,1120298,9660,3363,21562,21562,24906,2380,6388,9995,1678,40120,51265,12744,4231,1206,9561,5463,27313,17278,13942,43304,110647,36514,36514,19908,41569,231116,250659,12950,22605,304138,31476,45134,22807,22807,25398,35521,417996,1824416,7652,25028,31185,752,77269,110386,30886,38607,31281,31281,50299,43253,46505,12845,15764,47578,29024,118209,12464,91085,116476,159791,159791,7819,8249,587892,2254,196873,233154,10212,33232,9963,9963,12217,25977,6351,12858,919634,2830696,30766,32419,35651,55379,1758,24533,79912,1306,3330,708,23287,8284,51180,3656,25481,25481,18728,3476,1241,4618,6043,1993,8036,3094608,4048,7126,6812,17250,3103517,4382,14933,38397,57655,1366,26264,26264,7696,6724,15706,11160,11160,2494,5760,1623,7722,144814,5336,5435,1441705,4702613,4704980
1992,35674,53164,123072,126424,229699,229699,33580,33681,2738,23505,24009,14229,20271,20365,20365,9019,17221,17221,8936,33478,5701,6381,6381,152386,412480,1630,6941,14892,16880,63073,99109,99957,108693,108755,4701,13960,14158,15170,15058,13619,13771,1323,4791,31488,31826,10836,911,10664,54095,54104,1387,3366,26412,66028,1975,37970,42886,46775,56269,62871,194948,194948,10404,242836,12653,12653,15640,256265,7553,263194,264359,17402,10313,10313,302483,302817,10365,5404,323178,946931,7690,2677,17164,17164,19824,2231,5994,9379,1740,31909,40772,10144,3429,2104,9228,5273,26367,15066,12159,37762,99164,30561,30561,17075,36036,202854,219958,11335,19785,267814,30121,42073,21609,21609,23876,32737,371683,1548111,6200,18592,22240,478,71803,102575,37570,46964,28924,28924,41075,41847,43925,12428,10074,46033,28079,114368,9802,71630,91599,127993,127993,6964,7346,498988,1439,164751,187935,10051,24761,9599,9599,11038,19834,5358,9515,757975,2393449,21938,23118,24042,44632,1415,19770,64402,1150,2733,1258,20519,6208,44004,3224,25381,25381,18655,3146,543,4692,5320,1755,7075,2582412,4082,7184,5850,15875,2637879,4043,13778,35427,53196,1481,28520,28520,8356,7300,17056,11023,11023,2607,6024,1696,8074,162605,5580,5969,1529098,4348249,4357570
1993,50955,75939,173021,177674,321088,321088,71006,71220,3303,28346,28954,18960,27009,29660,29660,6020,22012,22012,11424,41227,8305,7489,7489,224655,609431,5178,8951,20595,23507,96627,131489,132310,148613,148727,8542,25368,25728,27398,27213,28138,28451,1835,8005,55483,55631,15026,820,14786,86442,86455,1779,4319,33882,84704,2817,54168,60851,66053,79459,88781,265842,265842,14842,353314,23023,23023,28812,377843,11988,388629,390884,27625,18599,18599,453615,454144,18692,9745,490161,1426028,15033,5235,33557,33557,38457,2622,7037,11009,2570,58798,75129,19831,4741,2261,16581,9474,47372,24304,19614,60912,169961,49722,49722,27419,60796,345785,375895,19953,34831,458700,39645,60687,26255,26255,30247,45847,616388,2461044,8571,29235,37088,984,91638,130912,61406,76755,41779,41779,66671,73203,77463,21742,20634,80524,49120,200065,15379,112390,143723,219259,219259,11753,12397,832175,2947,319465,366958,22282,52415,14472,14472,17419,35436,15105,23621,1345320,3883869,36588,38553,45490,90402,2869,40046,130448,2689,6544,914,48015,21168,109613,7539,28547,28547,20981,5460,2358,6183,44255,14593,58848,4366114,27928,49171,16273,73353,4496061,9421,32107,82563,123969,3925,75527,75527,22130,19334,45166,14898,14898,3570,8244,2319,11050,357078,7635,6505,2696688,7547044,7524881
1994,36586,54522,123211,126506,227979,227979,42525,42653,2314,19871,20297,14743,21003,19600,19600,8082,13264,13264,6883,29432,5488,6223,6223,154175,420442,1632,6894,15463,17604,64071,81463,81872,94593,94684,5765,17124,17366,19297,19082,18645,18854,1321,5122,34379,35878,10827,1024,10653,59655,59758,1263,3066,24051,60129,1934,37218,41627,46799,56296,62902,185448,185448,10198,241518,14118,14118,17776,256587,7787,263614,265039,17942,9358,9358,295746,295854,9403,4904,318921,964415,8416,2930,18787,18787,20486,2351,6309,9875,2227,20486,26176,11104,3755,1733,9080,5187,25941,14901,12025,37345,94736,29649,29649,17097,34119,191802,207156,10176,17761,249959,27278,38009,22520,22520,24557,32510,346562,1481378,6790,20511,24625,667,65762,93947,35214,44017,27332,27332,44224,47396,50285,14077,14003,52136,31804,129533,9712,70996,90786,132533,132533,5293,5584,536509,2000,186070,218300,8737,29187,10816,10816,12816,25040,4636,10415,843011,2466121,24290,25598,25864,50626,1606,22426,73052,897,2660,1167,16044,5657,35210,2519,25314,25314,18606,2815,387,4646,7618,2511,10129,2651105,5349,9418,8482,22017,2762319,3830,13056,33573,50410,1347,25901,25901,7590,6630,15487,11294,11294,2818,6513,1832,8728,158846,6029,6815,1484440,4367468,4300710
1995,61138,91115,201584,206883,370074,370074,73290,73512,4059,34862,35611,22264,31715,39700,39700,6041,23148,23148,12013,47780,11116,7861,7861,234305,672491,4223,10324,24846,28476,112074,154135,155125,164503,164569,9733,28908,29319,30278,30171,26743,27040,1790,7026,47319,50843,14672,3,14439,84240,84532,2612,6346,49778,124445,3526,67794,75300,84789,101998,113963,349098,349098,18577,446890,26627,26627,32942,475158,13525,487371,489830,31163,20903,20903,555413,555843,21007,10953,592149,1597449,11925,4152,26619,26619,32401,2742,7364,11525,3289,69378,88648,15730,7822,2912,18620,10641,53201,30083,24277,75397,192517,49895,49895,29412,64004,374095,405304,20680,36096,491688,42929,64737,25897,25897,30034,46201,655640,2719584,14145,40032,46462,1523,125414,179161,65947,82435,47497,47497,86072,74961,81560,22263,31978,82457,50300,204868,17817,130212,166513,242786,242786,14950,15771,1024779,4567,329758,403355,23782,70478,15618,15618,20185,48103,14234,27432,1627947,4242524,45835,48297,60970,80539,2557,35681,116220,2896,11840,341,51726,26075,121355,8119,26825,26825,19716,6472,3798,6737,27008,8909,35917,4817620,14832,26113,14646,47874,4964626,10325,35186,90479,135854,3775,72596,72596,21270,18584,43414,13943,13943,3891,8985,2529,12043,387230,8321,7389,3221818,8519866,8428830
1996,56747,84569,180721,185333,327379,327379,72221,72438,4010,34443,35183,21676,30878,41658,41658,9066,22152,22152,11497,38374,11665,8483,8483,255432,647308,3098,9905,21484,24378,110189,155580,156650,166933,167005,9027,26813,27192,26058,26185,33335,33706,2047,9730,68854,76523,16774,780,16507,119907,120542,2351,5710,44786,111960,3328,63996,74200,79674,95844,107088,341343,341343,17537,439176,21702,21702,28103,462541,10988,472200,474693,25318,16464,16464,554868,556098,16548,8627,576126,1568141,13286,4627,29658,29658,35334,2934,7877,12326,1412,68127,87053,17527,5550,2338,17060,9748,48743,23939,19320,59996,169074,43898,43898,27092,59744,336604,366062,19521,34072,447193,38977,59561,26717,26717,30620,45884,602680,2633697,10037,32251,39871,1165,91507,130726,56642,70803,34811,34811,64341,48686,53737,14460,24477,53554,32669,133059,15421,112694,144110,204860,204860,8156,8604,780099,3496,204115,260456,15262,51010,14213,14213,17709,39081,7742,17845,1189679,3737434,39334,41446,54379,57083,1813,25289,82372,1609,3268,1183,28757,10103,63071,4515,26820,26820,19713,3488,3804,7164,10034,3309,13343,4218960,6751,11887,9153,25484,4193202,4227,14404,37040,55617,2035,39106,39106,11457,10011,23387,11762,11762,2872,6635,1869,8895,188294,6146,6504,2013271,6468292,6548004
1997,62686,93422,213091,218833,395618,395618,112240,112578,4611,39614,40464,25203,35902,32442,32442,9030,24029,24029,12470,47214,9083,8381,8381,251827,753154,4899,9837,20873,23633,103031,153720,154914,165722,165800,12966,38511,39056,41309,41059,43104,43583,2173,10287,72707,87737,17814,435,17531,141791,143034,2478,6016,47184,117960,3630,69807,78034,78659,94623,105724,340507,340507,19126,445035,23383,23383,30190,470187,12259,481032,483684,28249,18231,18231,568954,570195,18324,9552,608291,1802279,18075,6294,40344,40344,46807,3646,9788,15319,1893,77564,99108,23842,6135,3528,16859,9635,48173,26335,21252,66003,178403,52367,52367,28111,62870,361639,392998,20777,36270,480395,42670,64584,28224,28224,32380,48625,646873,2991966,11096,38851,49812,1332,104838,149769,35263,44077,38760,38760,72538,62579,68356,18586,28002,68837,41991,171029,18551,135575,173369,241487,241487,12206,12875,880335,4000,286205,350649,18520,59408,17901,17901,21901,46345,12337,23892,1407744,4386259,49143,51782,66102,80953,2571,35862,116815,2299,4942,630,41062,16300,91936,6449,28243,28243,20759,4187,4212,6760,22681,7479,30160,4974015,14735,25943,11861,43568,5088231,8768,29883,76847,115386,3493,67175,67175,19682,17197,40170,14980,14980,3718,8586,2417,11509,338355,7953,6768,2816669,8275676,8298854
1998,42293,63031,137461,141031,250986,250986,41786,41910,3553,30509,31165,18002,25644,18077,18077,9892,12415,12415,6443,25890,5064,5886,5886,156289,445748,1853,7361,15203,17164,66325,98455,99210,104637,104675,6109,18143,18401,21972,21574,17961,18161,1509,7099,50133,47560,12345,1684,12148,70606,70396,1327,3222,25261,63155,2020,38835,44728,45122,54282,60650,196314,196314,10640,260354,17895,17895,22150,279354,9164,287634,289292,21115,12817,12817,336715,337147,12880,6716,372942,1088204,11862,4129,26473,26473,31090,2364,6347,9934,2795,55395,70782,15645,4370,1427,8968,5124,25622,17087,13789,42827,110936,32237,32237,18150,41145,229305,250049,13746,23993,306963,32272,46769,24705,24705,27455,38202,427171,1898335,7904,28861,37610,1170,73054,104365,30081,37601,31181,31181,60842,52845,57920,15696,24586,58131,35459,144425,13912,101674,130019,168790,168790,9027,9523,692122,3512,248954,305545,20134,56040,13890,13890,17402,38868,14061,24207,1158149,3158515,37103,39097,51477,55559,1766,24609,80168,2753,4903,930,49170,19362,109934,7721,28273,28273,20780,3563,3650,5050,42021,13856,55877,3690866,29333,51641,17567,77744,3774652,7628,25992,66838,100358,3845,73950,73950,21667,18930,44222,13671,13671,3668,8471,2384,11354,326599,7847,6659,2092965,6257140,6320549
